date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:49:31	342/342	---MCZ	200	added ('OK')	text/plain	etag:W/%2227a-F3yI3HuOetlau8aMXoAChnliN44%22	https://www.riicweddingplanner.com/robots.txt		(from )
12:49:31	1259758/1259758	---MCZ	200	added ('OK')	text/html	etag:W/%226b855c617d0cec026beb181bd7a348ca%22	https://www.riicweddingplanner.com/	C:/Riic-Wedding-Web/RiicWeddingClone/www.riicweddingplanner.com/index.html	(from )
12:49:32	8464/8464	---M--	200	added ('OK')	image/png	date:Sat,%2006%20Sep%202025%2005:49:30%20GMT	https://static.wixstatic.com/media/57593f_f2b17740d5c84295ab6d7d6359ea43a8~mv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/57593f_f2b17740d5c84295ab6d7d6359ea43a8~mv2.png	C:/Riic-Wedding-Web/RiicWeddingClone/static.wixstatic.com/media/57593f_f2b17740d5c84295ab6d7d6359ea43a8_mv2.png/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/57593f_f2b17740d5c84295ab6d7d6359ea43a8_mv2.png	(from https://www.riicweddingplanner.com/)
12:49:32	1599/1599	---M--	200	added ('OK')	image/png	date:Sat,%2006%20Sep%202025%2005:49:30%20GMT	https://static.wixstatic.com/media/57593f_f2b17740d5c84295ab6d7d6359ea43a8~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/57593f_f2b17740d5c84295ab6d7d6359ea43a8~mv2.png	C:/Riic-Wedding-Web/RiicWeddingClone/static.wixstatic.com/media/57593f_f2b17740d5c84295ab6d7d6359ea43a8_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/57593f_f2b17740d5c84295ab6d7d6359ea43a8_mv2.png	(from https://www.riicweddingplanner.com/)
12:49:33	8034/8034	---M--	200	added ('OK')	image/png	date:Sat,%2006%20Sep%202025%2005:49:31%20GMT	https://static.wixstatic.com/media/57593f_f2b17740d5c84295ab6d7d6359ea43a8~mv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/57593f_f2b17740d5c84295ab6d7d6359ea43a8~mv2.png	C:/Riic-Wedding-Web/RiicWeddingClone/static.wixstatic.com/media/57593f_f2b17740d5c84295ab6d7d6359ea43a8_mv2.png/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/57593f_f2b17740d5c84295ab6d7d6359ea43a8_mv2.png	(from https://www.riicweddingplanner.com/)
12:49:33	432253/432253	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ad8d4abe1af9f974a1468f1782295b0c%22	https://static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	C:/Riic-Wedding-Web/RiicWeddingClone/static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	(from https://www.riicweddingplanner.com/)
12:49:33	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Riic-Wedding-Web/RiicWeddingClone/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.riicweddingplanner.com/)
12:49:33	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Riic-Wedding-Web/RiicWeddingClone/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.riicweddingplanner.com/)
12:49:34	2210/2210	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Sep%202025%2005:49:32%20GMT	https://www.riicweddingplanner.com/c	C:/Riic-Wedding-Web/RiicWeddingClone/www.riicweddingplanner.com/c.6.delayed	(from https://www.riicweddingplanner.com/)
12:49:35	2210/2210	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Sep%202025%2005:49:33%20GMT	https://www.riicweddingplanner.com/t	C:/Riic-Wedding-Web/RiicWeddingClone/www.riicweddingplanner.com/t.7.delayed	(from https://www.riicweddingplanner.com/)
